Number_of_announcements,Number_of_announced_NLRI_prefixes,Average_AS_path_length,Average_unique_AS_path_length,Number_of_duplicate_announcements,Maximum_edit_distance,Maximum_AS_path_length,Number_of_Interior_Gateway_Protocol_IGP_packets,Labels
47,79,5,6,27,0.9,10,47,Normal
39,56,6,6,22,0.7,29,38,Normal
37,73,4,5,44,0.6,5,37,Normal
36,62,5,5,20,0.7,6,36,Normal
42,54,5,5,19,0.8,14,40,Normal
84,118,7,7,47,1.5,16,81,Normal
65,96,6,6,41,1.2,10,65,Normal
76,96,5,5,39,1.4,10,74,Normal
50,73,7,6,31,0.8,10,48,Normal
45,80,5,5,31,0.9,6,45,Normal
21,47,4,4,16,0.4,5,20,Normal
49,76,5,5,30,0.9,6,46,Normal
46,97,5,6,23,0.8,9,46,Normal
36,129,5,6,35,0.7,9,33,Normal
44,88,6,5,30,0.7,13,39,Normal
89,183,5,5,82,1.6,6,81,Normal
56,104,5,5,28,100,12,50,Normal
77,185,6,6,45,1.4,17,56,Normal
56,82,7,6,30,1,24,49,Normal
78,93,5,5,29,1.4,10,77,Normal
73,196,6,6,69,1.3,22,65,Normal
60,135,6,6,55,1.1,20,59,Normal
73,124,6,6,70,1.3,20,71,Normal
37,54,5,5,21,0.7,7,37,Normal
78,121,5,5,42,1.4,9,78,Normal
86,150,5,6,59,1.5,15,86,Normal
60,142,5,5,87,1,15,57,Normal
32,45,5,5,17,0.6,9,32,Normal
35,49,5,5,16,0.6,10,35,Normal
35,66,5,5,23,0.6,9,35,Normal
18,20,5,5,6,0.3,7,18,Normal
35,138,6,6,37,0.7,11,35,Normal
75,228,6,6,95,1.3,15,75,Normal
127,437,7,7,260,2.3,15,128,Normal
102,365,7,7,210,1.8,13,103,Normal
106,327,7,7,137,1.8,13,106,Normal
84,315,6,6,87,1.5,8,84,Normal
63,118,7,7,57,1.2,17,63,Normal
59,108,6,6,35,1,12,55,Normal
59,202,6,6,69,1.1,11,59,Normal
90,314,7,6,116,1.6,12,91,Normal
74,217,7,7,33,1.3,12,71,Normal
86,214,6,6,93,1.5,15,81,Normal
58,86,6,6,23,1.1,9,58,Normal
55,100,6,6,33,1,10,55,Normal
79,283,6,6,87,1.4,19,74,Normal
72,156,6,6,75,1.3,13,74,Normal
104,171,6,6,51,1.9,12,104,Normal
79,127,7,7,53,1.5,15,80,Normal
56,73,6,6,42,1,9,56,Normal
38,47,7,7,12,0.9,18,46,Normal
57,435,6,7,205,1.1,22,55,Normal
60,197,6,7,101,1.2,25,63,Normal
67,257,7,7,111,1.3,26,69,Normal
52,181,6,7,51,1,11,54,Normal
37,276,6,6,168,0.7,15,36,Normal
64,190,6,6,87,1.2,11,65,Normal
64,181,7,6,47,1.2,11,66,Normal
209,585,5,5,287,3.6,11,198,Normal
96,315,5,5,106,1.6,14,96,Normal
70,151,6,6,46,1.5,14,81,Normal
89,188,6,6,66,1.6,13,91,Normal
140,357,5,6,130,2.5,10,142,Normal
109,280,6,6,74,1.9,15,108,Normal
863,2775,5,5,1309,14,15,846,Normal
497,2238,5,5,552,8.4,13,478,Normal
312,1804,5,5,341,5.3,13,303,Normal
468,2122,5,5,520,7.9,18,440,Normal
1046,5135,5,5,2578,17,22,1038,Normal
331,1085,6,6,549,5.6,18,321,Normal
240,501,6,6,184,4.2,11,223,Normal
217,1035,6,5,61,3.7,17,210,Normal
182,442,4,4,153,3.1,11,169,Normal
125,349,5,5,115,2.3,7,126,Normal
59,97,7,7,41,1.1,20,62,Normal
187,791,6,6,390,3.3,14,189,Normal
281,838,6,6,375,4.9,21,285,Normal
80,137,7,7,73,1.5,22,79,Normal
53,110,8,8,39,1,26,57,Normal
34,51,7,7,20,0.7,32,32,Normal
35,62,5,5,19,0.7,9,35,Normal
70,405,6,6,195,1.3,10,71,Normal
31,308,6,6,86,0.6,10,27,Normal
35,257,6,5,177,0.6,8,27,Normal
44,73,5,5,30,0.7,10,41,Normal
209,615,5,5,342,3.5,15,208,Normal
182,869,5,5,421,3.1,9,182,Normal
56,214,6,6,80,1,12,56,Normal
60,243,6,6,95,1.1,13,60,Normal
44,99,6,6,40,0.8,12,43,Normal
53,92,6,6,32,1,19,51,Normal
67,204,6,6,108,1.2,24,64,Normal
51,118,5,5,18,0.9,10,49,Normal
57,201,5,5,61,1.1,10,54,Normal
63,100,6,6,28,1.1,9,61,Normal
52,74,6,6,31,1,9,52,Normal
59,119,7,7,25,1,21,56,Normal
65,143,6,6,68,1.1,21,65,Normal
74,112,6,6,45,1.3,12,74,Normal
52,82,5,6,40,100,11,52,Normal
39,110,6,6,65,0.7,9,39,Normal
69,256,5,6,83,1.2,10,68,Normal
80,324,6,6,72,1.5,10,78,Normal
100,228,6,6,58,1.9,13,100,Normal
60,179,5,5,49,1.1,9,46,Normal
53,106,6,6,39,1,9,48,Normal
59,110,5,5,41,1.2,9,51,Normal
45,134,6,5,23,0.8,9,44,Normal
30,182,5,5,62,0.6,8,29,Normal
41,88,5,5,31,0.8,12,36,Normal
43,109,6,6,34,0.8,13,41,Normal
24,43,6,6,22,0.4,10,25,Normal
29,72,5,5,22,0.5,7,28,Normal
33,68,5,5,16,0.6,8,32,Normal
81,133,6,6,40,1.5,9,81,Normal
115,233,5,6,142,2.1,8,114,Normal
115,367,6,6,140,2,12,111,Normal
82,195,6,6,55,1.4,13,79,Normal
64,149,7,7,56,1.2,16,57,Normal
72,127,6,6,57,1.3,16,72,Normal
29,37,6,5,16,0.5,7,29,Normal
37,77,5,5,17,0.7,7,37,Normal
66,167,5,5,62,1.2,9,59,Normal
57,133,6,6,32,1,11,55,Normal
41,57,6,5,21,0.8,8,40,Normal
30,68,6,5,20,0.6,8,28,Normal
85,188,6,6,83,1.5,10,85,Normal
115,174,7,7,51,2.1,19,111,Normal
182,437,7,7,163,3.1,19,174,Normal
128,280,8,9,77,2.3,17,124,Normal
199,1028,6,6,497,3.5,16,193,Normal
66,102,6,6,26,1.2,13,64,Normal
128,160,7,7,59,2.3,17,127,Normal
146,243,6,6,105,2.7,17,151,Normal
37,77,5,5,38,0.7,7,34,Normal
56,90,5,5,35,1.1,9,60,Normal
117,201,6,6,74,2.3,12,110,Normal
78,189,6,6,48,1.5,12,79,Normal
43,121,7,7,26,0.8,14,45,Normal
54,210,6,6,59,1.1,14,61,Normal
51,199,6,6,43,1.1,12,54,Normal
52,255,6,6,88,1,15,56,Normal
56,133,7,8,43,1.1,16,58,Normal
97,298,6,7,68,1.9,17,97,Normal
76,204,6,7,59,1.4,22,79,Normal
78,234,6,7,91,1.5,29,82,Normal
58,269,7,7,117,1.1,29,56,Normal
56,204,7,7,79,1,28,57,Normal
51,181,7,6,58,0.9,29,50,Normal
72,291,7,8,111,1.2,15,71,Normal
82,226,6,7,87,1.5,16,77,Normal
31,75,5,6,19,0.6,16,30,Normal
55,82,7,8,33,1,19,54,Normal
48,102,9,9,41,0.9,21,48,Normal
38,111,9,9,35,0.7,16,38,Normal
52,152,7,7,37,0.9,17,52,Normal
72,175,6,6,82,1.3,9,72,Normal
74,191,5,5,79,1.3,8,74,Normal
45,84,5,5,30,0.8,7,45,Normal
68,109,6,6,57,1.1,14,68,Normal
30,100,5,5,26,0.6,9,27,Normal
47,89,6,6,28,0.9,11,47,Normal
59,106,6,6,47,1,11,59,Normal
44,76,6,6,26,0.8,9,44,Normal
66,139,6,6,52,1.2,11,66,Normal
82,126,5,5,48,1.5,11,85,Normal
71,106,5,5,50,1.4,9,74,Normal
45,130,5,5,46,0.9,10,50,Normal
33,50,6,6,17,0.6,13,38,Normal
32,60,6,6,13,0.6,16,32,Normal
36,94,5,5,40,0.7,16,36,Normal
47,118,6,6,40,0.9,18,51,Normal
47,206,8,8,82,0.9,24,48,Normal
53,151,6,7,54,1,30,45,Normal
38,114,6,6,36,0.7,9,38,Normal
62,130,5,5,92,1.1,7,62,Normal
62,79,5,5,40,1.1,11,62,Normal
70,133,6,6,47,1.3,14,64,Normal
83,183,6,6,85,1.5,14,83,Normal
67,141,6,6,46,1.2,15,67,Normal
82,180,7,7,55,1.5,17,82,Normal
71,148,6,6,45,1.3,14,66,Normal
64,190,6,6,70,1.2,11,66,Normal
71,201,5,5,117,1.3,8,72,Normal
51,140,5,5,45,0.9,8,49,Normal
43,82,6,6,30,0.8,10,43,Normal
60,167,6,6,61,1,11,58,Normal
95,125,6,6,27,1.7,10,94,Normal
84,139,6,6,46,1.5,13,80,Normal
78,144,6,6,41,1.4,14,76,Normal
61,127,6,6,48,1.1,15,56,Normal
60,136,6,6,53,1.1,9,58,Normal
71,284,6,6,127,1.3,14,69,Normal
45,142,6,6,19,0.9,11,42,Normal
81,279,5,6,116,1.4,12,78,Normal
70,219,5,5,89,1.2,11,70,Normal
51,75,6,6,21,1,12,49,Normal
94,244,5,5,84,1.7,14,94,Normal
70,402,6,6,233,1.2,13,70,Normal
51,130,7,6,44,0.9,14,51,Normal
76,113,6,6,37,1.4,10,76,Normal
431,1567,7,7,690,7.3,22,410,Normal
81,206,6,6,52,1.5,15,80,Normal
66,104,6,6,31,1.2,15,66,Normal
75,235,7,7,91,1.3,12,75,Normal
124,408,6,6,152,2.2,14,124,Normal
54,73,5,5,20,1,7,53,Normal
71,168,5,5,67,1.2,11,68,Normal
133,466,6,6,121,2.3,22,119,Normal
209,626,6,6,313,9.8,19,563,Normal
59,86,7,7,30,6.3,14,355,Normal
43,78,9,9,20,1.8,17,105,Normal
46,95,7,7,35,1.2,18,66,Normal
66,136,8,8,57,1.4,18,69,Normal
92,202,8,9,126,2,18,102,Normal
42,86,9,9,21,1,19,51,Normal
102,296,9,9,58,2,22,113,Normal
94,431,6,6,178,7.4,23,429,Normal
105,422,6,6,169,1.9,13,111,Normal
74,206,7,7,68,1.4,13,76,Normal
60,123,6,6,35,1.1,13,60,Normal
63,94,6,6,24,1.2,15,61,Normal
82,131,7,7,48,1.5,14,79,Normal
44,70,6,6,21,0.8,15,44,Normal
52,133,6,6,52,0.9,13,52,Normal
30,48,6,5,14,0.5,7,30,Normal
40,95,6,6,22,0.7,12,40,Normal
81,198,6,6,80,1.4,12,78,Normal
57,83,6,6,26,1,14,56,Normal
177,878,6,6,317,3.1,13,164,Normal
177,699,5,5,280,9.5,13,547,Normal
54,113,5,5,32,7.2,13,420,Normal
45,202,6,6,85,0.9,13,49,Normal
47,116,6,6,19,0.8,10,47,Normal
63,99,5,5,31,1.1,8,63,Normal
89,171,6,5,48,1.6,14,83,Normal
83,146,6,6,76,1.5,11,83,Normal
67,98,5,5,30,1.2,11,67,Normal
79,121,6,6,28,1.4,12,79,Normal
265,1161,6,6,546,4.5,14,257,Normal
83,150,6,6,44,1.5,9,77,Normal
103,160,6,6,62,1.8,13,93,Normal
42,189,6,6,82,0.8,13,33,Normal
60,105,6,6,38,1,12,58,Normal
69,177,6,6,32,1.3,11,69,Normal
66,197,6,6,81,1.2,10,66,Normal
57,106,6,5,40,1,11,56,Normal
87,279,5,5,151,1.6,9,87,Normal
75,228,5,5,102,1.4,6,69,Normal
80,131,6,6,34,1.4,9,78,Normal
57,96,5,5,34,1,9,53,Normal
66,101,6,6,41,1.2,14,64,Normal
80,191,6,6,45,1.4,10,79,Normal
125,264,6,6,92,2.2,11,122,Normal
87,171,6,6,80,1.5,12,86,Normal
114,226,5,5,106,2.1,11,111,Normal
94,125,6,6,59,1.7,12,82,Normal
141,286,6,6,103,2.5,14,129,Normal
362,1069,5,5,418,6.2,14,338,Normal
61,112,6,6,37,1.2,14,56,Normal
66,168,6,6,18,1.2,13,58,Normal
86,118,6,6,46,1.5,11,81,Normal
104,381,6,6,99,1.8,11,104,Normal
60,199,6,6,56,1.1,13,60,Normal
94,256,6,7,105,1.7,29,91,Normal
85,163,6,6,54,1.5,15,84,Normal
65,95,6,6,31,1.2,13,52,Normal
94,173,6,6,48,1.7,8,90,Normal
164,401,6,6,160,2.9,13,156,Normal
231,645,6,7,180,4,15,190,Normal
195,381,7,7,135,3.4,14,179,Normal
144,289,6,6,120,2.6,15,139,Normal
73,151,6,6,53,1.3,13,73,Normal
57,110,6,6,40,1.1,14,58,Normal
241,819,4,4,315,4.2,14,232,Normal
44,93,7,7,50,0.8,15,48,Normal
45,78,7,7,18,0.9,18,49,Normal
99,210,9,9,103,1.8,20,99,Normal
53,151,6,7,79,100,21,53,Normal
85,226,6,6,99,1.5,11,80,Normal
67,140,7,7,50,1.3,12,67,Normal
70,148,5,5,84,1.2,8,70,Normal
30,61,5,5,16,0.6,8,30,Normal
58,100,5,5,30,1,7,58,Normal
67,163,6,6,57,1.1,11,67,Normal
127,840,6,6,746,2.2,9,126,Normal
63,298,6,6,156,1.1,8,63,Normal
72,369,6,6,345,1.3,9,72,Normal
67,125,6,6,43,1.2,13,67,Normal
65,129,6,5,30,1.2,10,64,Normal
78,198,7,7,88,1.4,17,76,Normal
66,130,6,6,32,1.1,16,66,Normal
62,117,6,6,51,1.1,16,62,Normal
85,185,6,6,91,1.5,15,82,Normal
52,94,6,6,45,100,13,52,Normal
59,124,5,5,45,1.1,12,54,Normal
64,109,6,6,45,1.2,9,62,Normal
54,114,6,6,40,1,13,54,Normal
67,170,7,7,63,1.2,14,67,Normal
60,131,6,6,55,1.1,15,60,Normal
850,3658,6,6,255,14,15,825,Normal
150,464,6,6,57,2.6,12,146,Normal
51,84,6,6,31,0.9,13,49,Normal
95,319,6,6,40,1.7,14,89,Normal
263,1102,5,6,55,4.4,14,249,Normal
92,110,6,6,29,1.6,13,92,Normal
53,57,5,5,16,0.9,8,50,Normal
163,668,6,6,288,300,15,153,Normal
122,293,6,6,170,2.3,10,123,Normal
122,530,6,6,193,2.2,10,117,Normal
120,570,5,5,241,2.1,9,116,Normal
143,607,5,6,324,2.6,15,146,Normal
150,550,6,6,184,2.7,13,145,Normal
167,475,5,6,213,3,12,167,Normal
111,265,6,7,69,2,15,111,Normal
81,258,7,7,49,1.5,18,85,Normal
180,406,6,6,148,3.2,12,171,Normal
82,150,7,7,69,1.5,13,89,Normal
130,199,7,7,80,2.4,16,136,Normal
56,77,7,7,26,1,19,61,Normal
109,218,5,6,105,1.9,22,108,Normal
33,64,8,8,21,0.7,26,35,Normal
43,63,7,7,19,0.9,28,43,Normal
114,361,6,6,40,2,18,111,Normal
82,113,7,7,33,1.5,18,81,Normal
65,141,6,6,50,1.2,10,63,Normal
74,133,7,6,51,1.3,15,73,Normal
72,96,6,7,35,1.3,10,72,Normal
78,105,7,7,35,1.4,15,76,Normal
54,99,6,6,35,0.9,11,54,Normal
37,73,6,6,16,0.7,10,37,Normal
110,233,6,6,194,1.9,9,108,Normal
61,108,5,5,46,1.1,10,59,Normal
51,77,5,5,38,0.9,8,50,Normal
76,579,6,6,221,1.3,12,76,Normal
69,149,6,5,69,1.2,13,65,Normal
107,173,6,6,69,1.9,13,104,Normal
40,44,6,6,13,0.7,9,39,Normal
38,42,6,6,14,0.6,9,36,Normal
53,87,6,6,24,1,15,52,Normal
53,96,5,5,34,0.9,7,52,Normal
73,137,6,6,82,1.3,13,73,Normal
25,41,5,5,12,0.5,8,25,Normal
65,94,6,6,32,1.2,16,62,Normal
56,85,5,5,30,1.1,7,51,Normal
86,105,6,7,35,1.6,14,86,Normal
64,263,7,7,115,1.1,14,62,Normal
55,90,7,7,32,1,16,54,Normal
47,65,7,7,27,0.8,18,44,Normal
49,84,7,7,33,0.9,18,48,Normal
61,165,7,7,24,1.2,14,60,Normal
86,146,6,6,55,1.5,11,86,Normal
61,106,6,6,37,1.1,10,60,Normal
65,329,6,7,67,1.2,13,64,Normal
73,276,6,6,149,1.3,10,73,Normal
71,277,6,6,102,1.2,16,71,Normal
55,84,7,6,25,1,13,54,Normal
73,111,6,6,28,1.3,10,73,Normal
56,83,6,6,35,1,11,56,Normal
44,80,5,5,24,0.8,12,43,Normal
59,102,5,5,33,1.1,9,58,Normal
79,114,5,5,42,1.4,13,73,Normal
52,73,5,5,22,0.9,13,48,Normal
91,202,5,5,128,1.6,14,83,Normal
74,161,7,7,77,1.3,18,70,Normal
77,127,8,8,46,1.4,19,75,Normal
52,108,5,6,32,0.9,11,50,Normal
79,232,6,6,99,1.4,15,67,Normal
89,259,6,6,100,1.5,18,89,Normal
80,273,6,5,91,1.4,17,80,Normal
95,274,6,6,98,1.7,14,88,Normal
56,168,6,6,52,1,9,56,Normal
52,189,6,6,56,1,10,50,Normal
83,262,6,6,75,1.5,12,83,Normal
393,759,6,6,108,6.7,18,383,Normal
178,557,7,7,245,3.1,13,178,Normal
78,217,6,6,74,1.4,10,77,Normal
67,160,6,6,75,1.2,12,66,Normal
57,86,7,7,20,1.1,12,62,Normal
56,92,7,7,31,1.1,12,58,Normal
89,151,6,6,76,1.6,13,89,Normal
77,233,7,6,105,1.4,11,76,Normal
100,314,6,6,102,1.8,10,98,Normal
127,322,6,6,119,2.2,13,124,Normal
148,256,6,6,60,2.5,13,140,Normal
221,363,6,6,133,3.8,13,211,Normal
100,181,6,6,68,1.7,13,95,Normal
104,216,6,6,122,1.9,14,104,Normal
82,153,6,6,32,1.5,12,82,Normal
123,223,5,5,68,2.1,10,114,Normal
186,344,5,5,125,3.2,13,181,Normal
60,127,5,5,40,1.1,11,60,Normal
73,196,5,5,35,1.3,14,70,Normal
84,296,6,7,74,1.5,13,78,Normal
86,139,6,6,52,1.6,11,85,Normal
133,253,6,6,85,2.5,14,131,Normal
141,357,6,6,109,2.5,15,138,Normal
81,198,6,6,70,1.5,9,81,Normal
67,172,5,6,58,1.3,12,65,Normal
63,128,6,6,38,1.1,16,57,Normal
88,203,5,5,68,1.5,13,87,Normal
122,280,6,6,117,2.1,13,120,Normal
81,179,6,6,99,1.5,12,81,Normal
66,227,6,7,172,1.2,12,66,Normal
55,72,6,6,29,1,19,54,Normal
65,133,7,7,39,1.2,11,58,Normal
86,162,7,7,63,1.5,15,86,Normal
130,350,8,7,112,2.3,15,126,Normal
172,308,10,10,79,3.1,27,163,Normal
133,201,9,10,66,2.4,26,131,Normal
103,173,6,6,56,1.9,11,100,Normal
161,310,7,7,106,2.8,12,152,Normal
114,342,8,8,177,2,15,113,Normal
88,175,6,6,64,1.6,14,88,Normal
99,419,6,6,147,1.7,11,97,Normal
155,586,5,6,258,2.6,10,149,Normal
87,346,6,6,181,1.6,11,89,Normal
89,296,6,6,122,1.6,13,91,Normal
141,365,6,7,107,2.5,19,135,Normal
150,261,7,7,80,2.6,16,139,Normal
93,330,7,7,117,1.7,15,92,Normal
108,463,7,7,119,2,14,108,Normal
91,396,6,6,152,1.6,8,90,Normal
63,124,6,6,49,1.1,14,60,Normal
57,106,5,5,44,1.1,11,56,Normal
75,117,6,7,39,1.4,14,74,Normal
116,213,7,7,79,2.1,15,110,Normal
124,199,7,6,58,2.2,13,119,Normal
182,287,6,6,147,3.2,12,173,Normal
144,449,7,7,130,2.5,14,144,Normal
169,568,8,8,201,3,16,167,Normal
115,189,7,7,66,2.1,17,116,Normal
86,156,7,7,94,1.5,17,83,Normal
156,263,6,6,92,2.8,14,147,Normal
97,127,6,6,42,1.7,20,95,Normal
117,284,6,6,92,2,13,115,Normal
90,216,6,6,49,1.6,10,83,Normal
159,352,6,5,101,2.8,13,158,Normal
97,225,6,6,72,1.7,13,93,Normal
66,129,6,6,67,1.2,13,63,Normal
84,215,6,7,94,1.6,14,80,Normal
64,165,6,6,56,1.1,15,63,Normal
71,220,5,5,163,1.4,11,70,Normal
84,205,5,6,54,1.6,11,75,Normal
92,225,6,6,79,1.6,13,89,Normal
128,282,6,6,128,2.2,10,126,Normal
598,1267,6,6,75,10,20,579,Normal
154,385,6,6,106,2.7,15,148,Normal
98,241,6,6,99,1.7,13,90,Normal
336,793,6,6,84,5.7,18,327,Normal
125,227,6,6,64,2.2,11,120,Normal
216,413,8,8,239,3.8,14,215,Normal
100,318,6,6,173,1.8,14,100,Normal
105,335,7,7,108,1.9,14,105,Normal
76,232,7,7,73,1.4,12,76,Normal
127,265,7,7,78,2.3,12,119,Normal
77,155,8,8,48,1.4,16,73,Normal
77,143,7,7,40,1.4,17,69,Normal
85,273,7,7,133,1.6,18,84,Normal
118,350,6,6,117,2.1,14,113,Normal
90,249,7,7,117,1.6,15,87,Normal
80,152,6,6,55,1.4,16,78,Normal
98,162,7,8,57,1.7,17,98,Normal
87,241,7,7,82,1.6,20,87,Normal
77,134,6,6,52,1.4,14,77,Normal
54,101,6,6,32,1,12,52,Normal
73,136,5,5,147,1.4,12,69,Normal
57,149,6,6,32,1,19,53,Normal
83,234,5,5,76,1.5,10,68,Normal
90,154,6,6,57,1.6,11,85,Normal
80,103,6,6,38,1.5,11,78,Normal
51,135,6,6,58,0.9,8,50,Normal
55,120,6,6,42,1,8,55,Normal
57,153,6,6,72,1,10,56,Normal
103,297,6,6,149,1.8,13,97,Normal
30,58,5,5,20,0.5,9,29,Normal
43,55,6,6,12,0.7,13,43,Normal
81,99,6,6,33,1.4,13,81,Normal
143,454,6,6,178,2.4,11,143,Normal
157,259,6,6,39,2.7,14,157,Normal
120,211,5,5,112,2.1,8,120,Normal
56,106,6,6,42,1,10,56,Normal
62,111,5,5,40,1.2,7,58,Normal
63,111,5,5,39,1.1,8,58,Normal
83,113,6,6,41,1.5,15,83,Normal
101,203,6,6,107,1.8,15,96,Normal
78,288,6,6,139,1.4,11,74,Normal
95,233,6,6,83,1.7,13,83,Normal
140,379,6,6,172,2.5,13,138,Normal
118,474,6,6,244,2.1,14,107,Normal
117,318,6,6,133,2.1,10,110,Normal
66,178,6,6,58,1.2,12,66,Normal
63,186,6,6,32,1.1,15,58,Normal
121,240,7,7,89,2.1,21,117,Normal
109,185,7,7,48,200,20,106,Normal
133,382,6,6,147,2.3,15,132,Normal
134,357,7,7,74,2.3,15,134,Normal
161,530,6,7,183,2.8,18,157,Normal
108,193,7,7,62,1.9,21,102,Normal
67,101,7,7,35,1.2,14,63,Normal
77,120,6,6,35,1.4,15,77,Normal
113,448,6,6,195,2,11,113,Normal
73,113,6,6,29,1.3,11,73,Normal
1437,7605,5,5,397,24,16,1386,Normal
106,220,7,7,68,1.9,15,87,Normal
308,957,6,8,1042,5.3,15,300,Normal
94,380,8,8,245,1.7,16,81,Normal
60,108,7,7,29,1.1,16,51,Normal
71,233,7,7,88,1.4,22,71,Normal
44,121,6,6,34,0.8,13,40,Normal
46,190,7,7,57,0.8,18,44,Normal
43,49,6,6,13,0.8,18,43,Normal
64,118,7,6,47,1.1,18,64,Normal
84,167,7,7,61,1.5,17,82,Normal
38,93,7,7,27,0.7,13,38,Normal
71,158,6,7,65,1.2,17,71,Normal
75,150,6,6,42,1.3,11,75,Normal
82,210,6,7,65,1.4,16,82,Normal
59,95,7,7,27,1.1,15,57,Normal
85,116,6,6,52,1.5,13,82,Normal
87,124,6,6,54,1.5,11,80,Normal
61,129,5,5,42,1.1,8,61,Normal
56,123,5,5,42,1,9,56,Normal
69,257,6,6,178,1.1,9,60,Normal
69,95,6,6,36,1.2,9,64,Normal
81,113,7,7,47,1.4,15,78,Normal
80,113,7,7,36,1.5,14,81,Normal
60,125,7,7,56,1.2,14,64,Normal
52,112,7,8,30,1.1,15,55,Normal
107,202,7,7,88,1.9,12,107,Normal
63,126,6,6,47,1.2,17,66,Normal
88,125,7,7,37,1.6,18,90,Normal
85,163,7,7,44,1.5,13,86,Normal
80,145,6,6,48,1.5,14,78,Normal
61,107,6,6,38,1.2,12,59,Normal
73,119,6,6,45,1.4,11,71,Normal
100,168,6,6,56,1.8,18,89,Normal
121,216,6,6,102,2.2,16,113,Normal
106,206,7,7,84,1.9,17,106,Normal
91,146,6,6,49,1.6,13,93,Normal
120,178,7,7,72,2.1,14,114,Normal
121,179,6,6,56,2.2,20,117,Normal
187,489,5,5,221,3.3,12,189,Normal
84,123,6,6,39,1.5,14,77,Normal
244,481,6,6,86,4.2,14,234,Normal
187,370,7,7,66,3.2,14,178,Normal
212,385,6,6,146,3.7,14,208,Normal
223,338,6,7,120,3.9,15,215,Normal
200,373,8,7,157,3.6,15,200,Normal
114,160,6,6,54,2.1,11,107,Normal
124,172,7,7,53,2.2,14,113,Normal
146,541,7,7,251,2.5,13,143,Normal
106,473,6,6,226,1.9,14,101,Normal
157,549,6,6,360,2.7,15,156,Normal
95,226,6,6,103,1.7,14,95,Normal
121,525,7,7,170,2.1,16,118,Normal
170,503,6,7,237,2.9,16,170,Normal
176,759,6,6,360,3,13,172,Normal
146,698,6,6,289,2.5,11,135,Normal
130,389,6,6,132,2.3,13,130,Normal
72,191,6,6,65,1.3,9,70,Normal
54,135,5,5,44,100,7,54,Normal
70,221,7,7,74,1.2,15,65,Normal
76,155,6,6,51,1.4,10,72,Normal
69,110,7,7,38,1.2,12,65,Normal
71,116,7,7,48,1.3,14,70,Normal
58,64,8,8,15,1,14,58,Normal
73,177,6,6,75,1.3,13,68,Normal
91,240,5,5,100,1.6,18,91,Normal
62,97,6,6,36,1.1,17,62,Normal
62,88,6,6,30,1.1,18,61,Normal
76,116,6,6,43,1.3,17,76,Normal
110,195,6,6,70,1.9,14,110,Normal
94,156,6,6,59,1.6,18,87,Normal
118,206,7,7,87,2.1,12,113,Normal
89,260,6,6,55,1.6,14,87,Normal
87,296,7,7,119,1.6,15,87,Normal
82,283,6,6,136,1.5,17,78,Normal
61,96,6,6,30,1.1,15,61,Normal
105,301,8,8,111,1.8,14,104,Normal
123,252,7,6,84,2.1,16,119,Normal
127,300,7,7,92,2.3,13,123,Normal
182,403,8,9,155,3.1,18,180,Normal
95,169,8,7,55,1.7,14,87,Normal
80,226,6,6,99,1.5,13,72,Normal
96,187,6,6,86,1.7,14,96,Normal
109,147,6,6,61,1.9,15,99,Normal
106,266,6,6,85,1.9,8,100,Normal
116,259,6,6,121,2.1,13,100,Normal
96,137,7,7,36,1.7,12,89,Normal
96,227,6,6,77,1.7,11,96,Normal
85,262,6,6,103,1.5,9,78,Normal
92,207,6,6,58,1.7,13,88,Normal
86,183,7,7,84,1.6,17,85,Normal
92,179,7,7,74,1.7,17,92,Normal
98,157,6,6,76,1.8,21,98,Normal
67,108,7,7,30,1.2,18,61,Normal
53,86,7,7,23,1,18,48,Normal
72,119,6,6,34,1.4,13,68,Normal
82,354,6,6,151,1.4,13,67,Normal
82,338,5,6,165,1.5,12,61,Normal
104,738,5,5,353,1.8,6,98,Normal
72,234,5,5,40,1.3,8,72,Normal
64,90,5,5,33,1.2,13,62,Normal
79,129,6,6,44,1.5,13,68,Normal
72,118,6,6,44,1.3,9,69,Normal
48,63,6,6,45,0.8,9,47,Normal
74,134,6,5,40,1.4,11,68,Normal
78,131,5,5,52,1.4,8,67,Normal
94,182,5,5,94,1.7,11,96,Normal
118,262,6,6,96,2.1,12,114,Normal
91,260,6,6,130,1.6,12,87,Normal
47,70,5,5,24,0.9,6,44,Normal
75,221,5,5,98,1.3,9,66,Normal
43,73,6,5,26,0.7,10,41,Normal
69,103,6,6,26,1.3,13,68,Normal
78,116,6,6,36,1.4,14,76,Normal
86,137,6,6,56,1.5,15,85,Normal
115,162,6,6,66,2,14,109,Normal
164,311,7,7,139,3,16,156,Normal
126,259,7,7,83,2.3,21,117,Normal
538,2533,6,6,3318,9.1,14,526,Normal
108,263,6,6,108,1.9,13,108,Normal
128,234,6,6,72,2.3,10,129,Normal
115,263,7,7,104,2.1,14,116,Normal
109,226,7,7,116,2,14,109,Normal
73,147,6,6,42,1.3,14,73,Normal
39,57,7,7,20,0.8,11,34,Normal
62,121,5,5,41,1.2,14,62,Normal
40,126,8,7,47,0.8,15,44,Normal
510,2436,6,6,273,8.7,16,475,Normal
123,157,6,6,68,2.2,12,118,Normal
74,91,6,6,40,1.4,14,74,Normal
53,82,6,6,28,1,15,52,Normal
63,159,7,8,37,1.2,16,63,Normal
110,434,8,8,121,200,17,106,Normal
