Number_of_announcements,Number_of_withdrawals,Number_of_announced_NLRI_prefixes,Number_of_withdrawn_NLRI_prefixes,Number_of_Interior_Gateway_Protocol_IGP_packets,Number_of_incomplete_packets,Labels
91,8,385,26,84,7,Normal
88,6,262,83,78,10,Normal
145,6,400,51,128,17,Normal
115,7,334,71,111,4,Normal
89,6,304,23,79,10,Normal
88,6,209,54,77,11,Normal
91,3,341,20,79,12,Normal
100,5,369,54,93,7,Normal
104,7,248,18,93,11,Normal
80,5,281,6,68,12,Normal
107,7,414,21,91,16,Normal
65,6,223,34,59,6,Normal
103,6,333,13,86,17,Normal
80,4,254,15,70,10,Normal
105,9,308,73,93,12,Normal
212,7,485,26,207,5,Normal
228,7,615,66,206,22,Normal
89,6,447,57,87,2,Normal
68,3,165,23,55,13,Normal
49,4,97,14,42,7,Normal
43,6,88,43,36,7,Normal
72,3,132,16,62,10,Normal
108,5,193,32,86,22,Normal
138,9,494,77,123,15,Normal
120,5,365,24,110,10,Normal
55,6,93,16,51,4,Normal
92,6,173,24,80,12,Normal
61,7,226,30,52,9,Normal
179,7,440,33,171,8,Normal
115,4,256,28,111,4,Normal
196,6,459,47,184,12,Normal
117,6,220,33,107,10,Normal
125,5,323,61,119,6,Normal
148,7,402,25,140,8,Normal
85,6,160,22,75,10,Normal
124,9,270,54,109,15,Normal
102,7,207,49,84,18,Normal
72,4,153,10,59,13,Normal
73,6,126,40,61,12,Normal
87,5,147,16,70,17,Normal
67,7,137,46,53,14,Normal
84,6,112,39,66,18,Normal
231,7,445,34,217,14,Normal
103,4,192,13,92,11,Normal
181,5,416,12,163,18,Normal
95,3,188,15,79,16,Normal
134,7,300,20,117,17,Normal
111,8,285,35,98,13,Normal
68,3,154,10,56,12,Normal
60,7,125,18,54,6,Normal
87,7,154,20,80,7,Normal
54,6,88,24,47,7,Normal
89,6,143,29,80,9,Normal
63,5,105,20,43,20,Normal
168,6,392,17,143,25,Normal
90,5,215,26,73,17,Normal
223,9,567,93,204,19,Normal
119,5,264,17,91,28,Normal
56,6,86,20,45,11,Normal
71,5,112,30,56,15,Normal
57,7,113,22,48,9,Normal
87,8,187,37,79,7,Normal
82,4,179,22,68,13,Normal
44,7,76,16,30,14,Normal
71,7,134,17,59,12,Normal
156,6,384,19,143,13,Normal
218,6,479,16,204,14,Normal
67,3,114,19,61,6,Normal
108,6,330,21,97,11,Normal
90,4,168,20,78,12,Normal
179,6,577,18,166,13,Normal
73,8,118,34,59,14,Normal
110,7,177,18,85,25,Normal
86,6,214,89,75,11,Normal
139,6,544,22,121,18,Normal
111,8,227,62,95,16,Normal
194,6,430,12,175,19,Normal
145,7,335,24,127,18,Normal
74,5,136,9,58,16,Normal
72,8,146,48,65,7,Normal
88,5,187,20,69,19,Normal
73,7,109,16,53,20,Normal
71,5,111,10,60,11,Normal
80,4,135,19,68,12,Normal
75,7,149,21,60,15,Normal
72,8,171,34,60,12,Normal
59,5,96,18,48,11,Normal
77,4,190,16,58,19,Normal
209,8,474,24,176,33,Normal
198,6,464,25,178,20,Normal
81,6,133,16,64,17,Normal
67,6,110,22,58,9,Normal
50,4,81,9,40,10,Normal
60,7,90,19,49,11,Normal
60,5,109,12,54,6,Normal
50,6,77,8,45,5,Normal
73,4,114,9,62,11,Normal
56,7,97,14,48,8,Normal
62,5,98,11,52,10,Normal
196,7,391,30,179,17,Normal
93,7,195,41,75,18,Normal
201,7,431,29,182,19,Normal
60,5,106,19,53,7,Normal
62,6,114,21,49,13,Normal
69,5,127,24,52,17,Normal
92,6,165,20,80,12,Normal
64,7,100,30,55,9,Normal
71,6,115,18,62,9,Normal
114,7,170,30,105,9,Normal
78,7,134,35,66,12,Normal
62,3,128,13,54,8,Normal
84,6,199,19,75,9,Normal
302,6,715,23,287,15,Normal
190,6,465,35,170,20,Normal
105,9,216,32,93,12,Normal
102,6,255,54,89,13,Normal
97,7,250,24,88,9,Normal
61,5,103,12,52,9,Normal
87,6,144,29,79,8,Normal
72,7,126,22,65,7,Normal
91,5,242,11,73,18,Normal
99,8,256,27,74,25,Normal
59,6,80,18,51,8,Normal
59,6,88,12,53,6,Normal
173,4,343,12,162,11,Normal
173,6,373,20,159,14,Normal
64,5,82,24,57,7,Normal
63,6,111,19,48,15,Normal
60,8,86,43,49,11,Normal
96,6,149,25,86,10,Normal
110,6,159,35,95,15,Normal
58,5,98,20,52,6,Normal
67,8,112,14,54,13,Normal
96,6,175,28,76,20,Normal
46,3,70,6,37,9,Normal
58,5,137,14,50,8,Normal
188,5,406,19,169,19,Normal
176,7,393,14,157,19,Normal
29,4,59,17,27,2,Normal
50,4,82,25,44,6,Normal
101,7,199,28,83,17,Normal
98,6,221,39,92,6,Normal
66,7,129,58,63,3,Normal
99,5,212,47,90,9,Normal
80,4,165,24,68,12,Normal
83,8,189,28,66,17,Normal
70,5,153,29,54,16,Normal
76,7,164,22,52,24,Normal
51,5,87,21,40,11,Normal
61,3,143,10,45,16,Normal
61,6,150,26,54,7,Normal
101,8,311,37,89,12,Normal
169,5,375,12,150,19,Normal
99,7,207,63,87,12,Normal
116,6,223,15,106,10,Normal
81,8,146,15,71,10,Normal
72,7,132,33,68,4,Normal
56,6,95,14,46,10,Normal
86,6,272,180,75,11,Normal
92,8,335,44,86,6,Normal
314,6,1456,23,300,14,Normal
175,7,432,36,162,13,Normal
174,8,471,29,162,12,Normal
68,7,167,40,64,4,Normal
58,4,148,17,55,3,Normal
69,6,117,61,66,3,Normal
107,8,246,25,91,16,Normal
75,7,152,58,61,14,Normal
266,9,1237,59,246,20,Normal
178,6,385,21,170,8,Normal
60,5,126,9,55,5,Normal
66,6,122,27,50,16,Normal
105,7,232,19,89,16,Normal
105,9,219,54,92,13,Normal
107,3,349,9,97,10,Normal
67,5,118,51,56,11,Normal
148,5,334,30,136,12,Normal
104,6,195,19,95,9,Normal
72,8,136,26,60,12,Normal
87,5,169,12,65,22,Normal
69,5,178,33,57,12,Normal
96,4,200,11,73,23,Normal
84,7,203,26,60,24,Normal
100,8,172,18,81,19,Normal
81,7,123,14,72,9,Normal
179,5,417,33,162,17,Normal
63,4,139,9,51,12,Normal
190,6,561,137,175,13,Normal
67,7,193,15,53,8,Normal
106,4,392,41,85,21,Normal
53,7,89,102,42,11,Normal
116,7,192,27,106,10,Normal
205,6,373,44,195,10,Normal
131,4,488,11,124,7,Normal
105,7,258,31,95,10,Normal
89,5,124,19,75,14,Normal
199,6,334,19,172,27,Normal
208,5,397,68,189,19,Normal
83,5,177,25,69,14,Normal
171,8,374,30,155,16,Normal
59,6,98,30,55,4,Normal
148,7,377,14,141,7,Normal
136,8,279,69,121,15,Normal
117,7,227,13,98,19,Normal
94,7,179,32,77,17,Normal
93,6,184,27,84,9,Normal
62,6,139,34,54,8,Normal
68,8,139,28,62,6,Normal
77,9,149,32,69,8,Normal
76,6,302,27,57,19,Normal
91,7,354,48,72,19,Normal
85,6,230,45,79,6,Normal
82,7,188,65,75,7,Normal
284,7,522,38,264,20,Normal
101,6,234,58,91,10,Normal
61,7,226,62,58,3,Normal
85,8,348,43,70,15,Normal
90,5,277,40,74,16,Normal
216,5,458,51,200,16,Normal
74,6,200,30,67,7,Normal
68,6,179,47,57,11,Normal
62,7,169,35,49,13,Normal
57,5,133,15,48,9,Normal
78,7,111,30,68,10,Normal
124,7,244,33,106,18,Normal
94,7,187,33,77,17,Normal
51,6,121,26,48,3,Normal
60,8,171,33,59,1,Normal
62,6,138,23,55,7,Normal
68,7,128,40,60,8,Normal
107,7,894,58,89,18,Normal
111,7,712,349,99,12,Normal
83,5,513,29,80,3,Normal
95,8,630,366,83,12,Normal
81,7,278,99,77,4,Normal
54,6,139,74,53,1,Normal
68,5,207,50,63,5,Normal
87,5,133,17,79,8,Normal
75,5,137,19,68,7,Normal
64,5,135,38,54,10,Normal
62,6,99,10,53,9,Normal
41,5,76,13,36,5,Normal
60,5,116,23,50,10,Normal
94,5,182,27,85,9,Normal
79,7,117,15,73,6,Normal
64,7,94,24,57,7,Normal
57,5,106,15,50,7,Normal
174,5,840,295,147,27,Normal
103,7,432,24,78,25,Normal
77,5,157,26,64,13,Normal
83,8,219,33,68,15,Normal
48,6,89,10,40,8,Normal
48,5,107,58,37,11,Normal
86,5,226,9,80,6,Normal
100,6,252,46,77,23,Normal
123,6,294,33,97,26,Normal
142,6,251,39,119,23,Normal
69,5,130,20,60,9,Normal
87,7,497,293,74,13,Normal
135,7,1046,26,111,24,Normal
98,6,188,23,91,7,Normal
150,9,333,55,144,6,Normal
127,8,353,53,109,18,Normal
132,6,250,76,122,10,Normal
63,5,101,16,57,6,Normal
68,7,149,45,57,11,Normal
86,7,271,40,75,11,Normal
85,6,234,53,75,10,Normal
96,6,202,27,85,11,Normal
90,7,159,26,84,6,Normal
71,6,122,63,60,11,Normal
86,7,265,23,64,22,Normal
71,3,190,86,56,15,Normal
71,7,220,45,56,15,Normal
66,4,182,103,57,8,Normal
74,5,209,23,60,11,Normal
56,4,83,6,50,6,Normal
67,5,101,12,59,8,Normal
98,6,216,75,94,4,Normal
109,6,230,34,107,1,Normal
83,6,180,103,72,8,Normal
99,6,225,41,84,15,Normal
119,6,297,46,99,20,Normal
111,7,269,52,84,27,Normal
77,6,165,31,56,21,Normal
74,7,145,72,61,12,Normal
66,6,175,32,56,9,Normal
85,9,175,68,82,2,Normal
114,7,253,30,111,3,Normal
166,6,582,29,144,19,Normal
104,5,250,36,78,26,Normal
145,7,814,57,123,22,Normal
70,5,100,10,46,24,Normal
53,4,90,12,42,11,Normal
54,6,125,42,43,11,Normal
59,6,136,47,56,3,Normal
88,5,442,73,74,14,Normal
103,6,343,61,91,12,Normal
142,6,582,317,128,14,Normal
89,7,232,181,72,17,Normal
80,6,136,153,66,14,Normal
56,5,98,28,45,11,Normal
67,7,160,37,54,13,Normal
57,5,118,19,50,7,Normal
118,4,640,17,98,20,Normal
75,7,107,31,71,4,Normal
88,7,199,27,79,9,Normal
103,6,278,31,98,5,Normal
77,6,157,13,76,1,Normal
67,5,166,13,61,6,Normal
75,8,104,34,60,15,Normal
105,7,361,111,94,11,Normal
69,7,525,38,62,7,Normal
85,7,341,110,79,6,Normal
57,4,95,14,50,7,Normal
86,3,358,10,75,11,Normal
99,7,379,31,91,8,Normal
160,7,318,35,152,8,Normal
72,7,165,36,65,7,Normal
51,5,103,44,48,3,Normal
56,5,116,10,50,6,Normal
69,8,127,28,62,7,Normal
65,4,202,11,61,4,Normal
52,5,76,43,48,4,Normal
58,7,125,22,49,9,Normal
90,6,189,24,83,7,Normal
62,6,175,18,56,6,Normal
109,5,252,48,94,15,Normal
81,7,142,26,68,13,Normal
87,6,194,22,81,6,Normal
73,6,159,27,70,3,Normal
1959,6,6385,14,1840,115,Normal
1970,7,6363,34,1850,114,Normal
104,7,242,36,93,11,Normal
85,9,155,38,77,8,Normal
73,6,161,29,64,9,Normal
72,5,208,44,64,8,Normal
69,4,190,13,57,12,Normal
63,6,147,35,50,13,Normal
32,4,78,30,28,4,Normal
77,3,184,8,69,8,Normal
56,5,132,9,43,13,Normal
91,6,342,42,82,9,Normal
106,6,592,41,95,11,Normal
66,5,182,16,58,8,Normal
78,6,212,23,67,11,Normal
75,6,192,50,60,15,Normal
59,5,104,9,48,11,Normal
50,5,89,15,43,7,Normal
43,4,117,16,42,1,Normal
36,5,73,24,34,2,Normal
48,3,95,8,39,9,Normal
69,5,132,13,58,11,Normal
56,6,102,21,42,14,Normal
66,5,142,16,43,23,Normal
3199,9,10587,38,2985,206,Normal
82,6,165,19,66,16,Normal
67,5,99,50,59,8,Normal
89,7,233,36,76,13,Normal
105,5,364,15,90,15,Normal
71,3,199,4,59,12,Normal
76,7,135,26,71,5,Normal
70,4,105,23,67,3,Normal
73,6,141,20,69,4,Normal
194,7,618,116,184,10,Normal
194,6,649,58,180,14,Normal
97,4,184,24,83,14,Normal
59,6,100,17,50,9,Normal
329,6,1351,23,303,26,Normal
118,6,407,17,113,5,Normal
597,5,2519,19,548,46,Normal
191,5,738,126,174,16,Normal
80,11,244,743,73,7,Normal
83,6,235,18,74,9,Normal
96,7,200,88,87,9,Normal
71,7,156,21,66,5,Normal
76,5,161,26,61,15,Normal
84,7,307,70,76,8,Normal
111,8,247,43,98,13,Normal
82,7,195,67,80,2,Normal
162,6,1110,29,153,9,Normal
86,8,362,45,75,11,Normal
226,7,954,36,220,6,Normal
87,6,183,19,81,6,Normal
59,6,103,105,53,6,Normal
54,5,200,20,48,6,Normal
46,6,107,22,38,8,Normal
59,5,102,11,53,6,Normal
46,4,110,25,39,7,Normal
77,6,243,25,69,8,Normal
70,4,167,13,63,7,Normal
97,6,242,25,87,10,Normal
80,5,153,24,71,9,Normal
76,7,298,63,68,8,Normal
71,4,252,27,61,10,Normal
39,7,70,40,33,6,Normal
109,5,263,12,102,7,Normal
78,5,181,55,73,5,Normal
67,8,192,42,61,6,Normal
76,6,132,12,58,18,Normal
50,5,94,12,43,7,Normal
54,5,91,53,45,9,Normal
50,5,101,10,38,12,Normal
47,6,83,22,40,7,Normal
110,7,306,22,106,4,Normal
84,7,296,91,84,0,Normal
158,6,395,38,148,10,Normal
87,4,191,23,79,8,Normal
71,6,174,21,63,8,Normal
67,6,146,18,55,12,Normal
96,6,182,40,86,10,Normal
53,4,117,15,42,11,Normal
46,6,66,20,37,9,Normal
59,4,111,20,57,2,Normal
56,5,137,22,43,13,Normal
61,4,92,13,51,10,Normal
44,4,90,12,37,7,Normal
39,4,72,9,35,4,Normal
57,5,90,8,52,5,Normal
55,6,84,16,48,7,Normal
359,6,1620,20,318,41,Normal
161,7,631,32,143,18,Normal
74,3,171,53,74,0,Normal
262,4,1178,26,236,26,Normal
317,6,1319,22,284,33,Normal
84,8,193,56,75,9,Normal
83,6,212,77,77,6,Normal
86,6,265,51,83,3,Normal
76,5,218,35,70,6,Normal
79,5,203,25,71,8,Normal
70,7,259,86,57,13,Normal
82,6,272,41,71,11,Normal
238,7,959,171,212,26,Normal
273,4,575,49,244,29,Normal
223,6,608,56,205,18,Normal
68,4,211,10,56,12,Normal
139,7,311,26,123,16,Normal
97,8,283,28,91,6,Normal
63,6,130,15,53,10,Normal
117,8,212,59,100,17,Normal
98,6,181,41,87,11,Normal
91,7,162,30,72,19,Normal
82,6,147,44,67,15,Normal
108,7,339,47,99,9,Normal
108,6,340,32,94,14,Normal
101,7,211,16,84,17,Normal
79,6,166,43,77,2,Normal
88,4,322,10,70,18,Normal
57,7,113,36,49,8,Normal
54,5,77,17,43,11,Normal
63,7,133,63,61,2,Normal
72,6,148,33,62,10,Normal
54,6,92,26,50,4,Normal
70,8,181,19,59,11,Normal
63,5,121,16,51,12,Normal
63,8,166,36,55,8,Normal
105,7,213,36,98,7,Normal
129,7,287,29,127,2,Normal
59,5,104,36,55,4,Normal
56,6,88,38,53,3,Normal
52,6,82,14,50,2,Normal
53,6,102,18,46,7,Normal
93,7,836,32,58,35,Normal
164,10,340,87,144,20,Normal
59,7,101,44,45,14,Normal
110,4,222,14,92,18,Normal
170,5,414,30,161,9,Normal
99,6,248,17,94,5,Normal
142,6,327,29,135,7,Normal
71,4,279,138,67,4,Normal
81,6,275,21,62,19,Normal
81,6,139,174,65,15,Normal
93,4,173,23,81,12,Normal
151,5,355,78,142,9,Normal
60,6,183,23,56,4,Normal
73,3,142,69,67,6,Normal
110,7,230,70,101,9,Normal
164,6,349,45,155,9,Normal
173,6,282,19,158,15,Normal
74,7,201,185,62,12,Normal
63,7,157,24,50,13,Normal
39,3,168,13,31,8,Normal
58,5,211,27,49,9,Normal
69,4,137,25,59,10,Normal
67,5,117,17,55,12,Normal
65,5,108,22,53,12,Normal
151,6,362,22,146,5,Normal
79,6,225,23,75,4,Normal
122,7,323,92,114,8,Normal
83,5,199,14,77,6,Normal
100,8,258,42,89,11,Normal
62,5,106,12,53,9,Normal
115,8,245,19,115,0,Normal
142,8,267,29,139,3,Normal
62,4,141,11,57,5,Normal
70,5,157,11,57,13,Normal
47,7,65,27,39,8,Normal
82,6,154,32,76,6,Normal
81,7,199,50,69,12,Normal
100,6,203,15,90,10,Normal
83,7,146,33,77,6,Normal
91,5,214,28,87,4,Normal
76,6,176,11,67,9,Normal
77,4,193,15,70,7,Normal
103,6,221,54,94,9,Normal
141,6,371,71,130,11,Normal
253,5,603,23,204,49,Normal
136,7,260,18,115,21,Normal
49,5,158,7,41,8,Normal
58,5,107,12,48,10,Normal
66,6,109,43,46,20,Normal
61,7,86,15,47,14,Normal
89,7,132,24,74,15,Normal
77,6,272,32,58,19,Normal
40,5,54,14,30,10,Normal
56,6,177,14,50,6,Normal
40,4,127,4,34,6,Normal
83,5,243,13,72,11,Normal
81,4,173,28,71,10,Normal
141,6,321,29,127,14,Normal
104,6,184,32,91,13,Normal
72,5,116,31,61,11,Normal
87,7,148,20,84,3,Normal
89,4,1574,17,72,17,Normal
81,4,1615,8,64,17,Normal
87,5,191,19,82,5,Normal
59,6,90,9,56,3,Normal
50,6,97,28,45,5,Normal
54,5,165,21,44,10,Normal
61,4,164,12,51,9,Normal
88,6,269,33,75,13,Normal
115,5,404,101,97,17,Normal
67,6,110,18,61,6,Normal
47,6,109,28,45,2,Normal
55,4,126,14,48,7,Normal
60,7,173,32,54,6,Normal
63,2,163,7,50,13,Normal
92,6,290,41,87,5,Normal
103,5,201,27,94,9,Normal
106,8,181,37,95,11,Normal
67,6,144,28,60,7,Normal
186,5,903,21,180,6,Normal
106,6,264,42,90,16,Normal
85,5,155,21,74,11,Normal
60,4,159,14,53,7,Normal
44,7,81,24,40,4,Normal
62,5,118,10,57,5,Normal
44,2,83,5,43,1,Normal
45,6,86,16,39,6,Normal
59,6,164,11,54,5,Normal
120,6,387,243,106,14,Normal
175,7,424,38,143,32,Normal
158,5,366,62,127,31,Normal
190,3,521,14,158,32,Normal
64,4,117,30,59,5,Normal
55,7,87,35,47,8,Normal
66,2,156,7,62,4,Normal
89,7,245,23,84,3,Normal
133,6,367,38,130,3,Normal
140,6,373,15,132,8,Normal
88,7,209,64,70,18,Normal
67,3,148,16,52,15,Normal
68,6,232,24,62,6,Normal
155,5,405,12,143,12,Normal
164,5,393,16,142,22,Normal
66,4,124,13,59,7,Normal
125,6,227,33,115,10,Normal
119,5,204,26,111,8,Normal
67,4,138,6,54,13,Normal
85,5,190,44,67,18,Normal
54,6,136,17,44,9,Normal
72,8,186,38,65,7,Normal
75,5,124,14,61,14,Normal
76,6,153,24,64,12,Normal
76,7,508,21,69,7,Normal
58,6,131,13,50,8,Normal
50,3,86,9,40,10,Normal
52,5,91,16,40,12,Normal
42,3,71,14,36,6,Normal
57,5,95,15,46,11,Normal
49,5,131,16,46,3,Normal
40,4,64,12,32,8,Normal
58,3,145,18,48,10,Normal
38,3,86,5,33,5,Normal
76,5,159,36,65,11,Normal
73,3,509,6,58,15,Normal
40,3,101,11,35,5,Normal
48,4,87,17,39,9,Normal
81,5,189,16,72,9,Normal
64,7,186,26,57,7,Normal
65,6,116,12,54,11,Normal
86,6,174,19,82,4,Normal
80,8,131,20,66,14,Normal
72,7,156,23,67,5,Normal
66,4,103,11,59,7,Normal
46,6,78,18,44,2,Normal
50,6,98,28,44,6,Normal
87,4,197,10,80,7,Normal
58,6,94,19,49,9,Normal
37,4,67,12,36,1,Normal
70,8,165,22,56,14,Normal
60,4,164,12,51,9,Normal
63,7,129,55,59,4,Normal
56,5,145,10,52,4,Normal
56,6,108,25,49,7,Normal
48,6,102,42,43,5,Normal
62,4,114,22,56,6,Normal
53,5,125,29,43,10,Normal
67,6,159,31,56,11,Normal
52,4,103,30,45,7,Normal
94,7,192,53,77,17,Normal
76,6,164,22,70,6,Normal
77,4,158,19,73,4,Normal
56,5,132,21,51,5,Normal
72,3,179,35,65,7,Normal
79,6,216,40,71,8,Normal
80,6,251,42,70,10,Normal
81,5,171,25,72,9,Normal
81,5,165,37,71,10,Normal
81,6,162,49,75,6,Normal
87,5,218,16,78,9,Normal
58,4,94,17,54,4,Normal
66,6,113,30,56,10,Normal
128,5,229,10,123,5,Normal
38,6,74,30,31,7,Normal
159,5,266,12,149,10,Normal
107,6,146,34,97,10,Normal
139,7,314,42,123,16,Normal
87,7,160,44,74,13,Normal
63,5,172,25,56,7,Normal
66,7,109,19,48,18,Normal
69,5,113,24,52,17,Normal
91,7,136,18,79,12,Normal
62,6,144,15,44,18,Normal
55,7,104,19,44,11,Normal
50,6,83,19,44,6,Normal
65,6,121,17,52,13,Normal
50,4,111,10,47,3,Normal
82,6,186,12,73,9,Normal
84,4,190,12,69,15,Normal
53,7,95,28,48,5,Normal
61,6,106,18,51,10,Normal
55,8,108,30,46,9,Normal
57,6,175,30,52,5,Normal
42,5,128,17,39,3,Normal
62,7,105,26,58,4,Normal
76,8,139,26,61,15,Normal
51,2,92,4,39,12,Normal
46,4,119,11,36,10,Normal
48,4,97,21,37,11,Normal
69,4,143,26,62,7,Normal
76,6,144,18,71,5,Normal
61,7,105,41,56,5,Normal
61,6,150,43,57,4,Normal
85,6,208,32,80,5,Normal
73,5,234,21,68,5,Normal
76,6,218,50,69,7,Normal
91,6,321,47,78,13,Normal
117,8,569,52,99,18,Normal
75,5,156,17,64,11,Normal
64,6,133,34,60,4,Normal
77,8,139,36,69,8,Normal
65,4,114,32,54,11,Normal
42,5,82,28,38,4,Normal
99,5,293,34,82,17,Normal
96,7,341,22,75,21,Normal
71,6,226,27,60,11,Normal
57,5,112,21,47,10,Normal
72,5,187,17,63,9,Normal
116,6,265,35,104,12,Normal
142,7,331,45,128,14,Normal
108,6,238,133,99,9,Normal
78,6,116,24,58,20,Normal
80,5,147,70,55,25,Normal
90,4,258,7,82,8,Normal
106,7,345,30,100,6,Normal
81,5,137,20,72,9,Normal
105,6,180,31,91,14,Normal
74,7,127,39,57,17,Normal
104,6,195,18,90,14,Normal
141,8,234,29,128,13,Normal
76,5,139,19,72,1,Normal
72,5,144,25,61,9,Normal
33,5,85,18,29,4,Normal
51,4,107,19,50,1,Normal
49,5,105,27,42,7,Normal
59,4,125,6,49,10,Normal
62,6,130,12,53,9,Normal
30,4,69,18,30,0,Normal
91,5,397,16,78,13,Normal
119,6,365,58,104,15,Normal
79,5,267,11,68,11,Normal
88,7,167,20,85,3,Normal
94,6,161,29,87,7,Normal
49,5,94,15,49,0,Normal
47,3,80,7,45,2,Normal
55,4,123,21,43,12,Normal
217,4,813,4,191,26,Normal
171,6,804,25,152,19,Normal
45,4,117,14,36,9,Normal
109,6,317,18,89,20,Normal
141,6,371,17,138,3,Normal
79,6,168,22,75,4,Normal
54,5,100,26,52,2,Normal
65,6,98,23,58,6,Normal
157,7,483,55,144,9,Normal
164,4,487,28,155,7,Normal
124,6,318,16,115,7,Normal
132,7,335,21,124,6,Normal
125,6,559,20,109,16,Normal
147,4,541,21,127,20,Normal
64,4,119,23,57,7,Normal
77,6,131,46,62,15,Normal
105,6,223,16,93,8,Normal
90,7,250,83,85,3,Normal
101,6,327,35,99,2,Normal
67,4,107,19,64,3,Normal
58,4,114,11,56,2,Normal
60,6,90,22,58,2,Normal
79,8,396,64,73,6,Normal
74,8,333,24,65,9,Normal
65,6,148,25,52,13,Normal
61,7,142,68,52,8,Normal
81,8,307,65,70,9,Normal
84,6,326,23,77,7,Normal
82,7,159,41,76,6,Normal
73,4,149,13,66,7,Normal
66,3,120,13,56,10,Normal
84,7,210,42,71,12,Normal
120,7,310,67,97,19,Normal
115,7,260,24,84,29,Normal
112,7,212,34,99,13,Normal
95,5,157,16,80,12,Normal
67,6,136,40,61,6,Normal
55,3,90,15,49,6,Normal
138,8,525,36,123,15,Normal
120,5,255,103,113,7,Normal
121,6,374,60,118,3,Normal
139,6,363,158,130,9,Normal
231,9,430,34,227,4,Normal
111,7,165,13,106,5,Normal
61,6,116,15,57,4,Normal
66,4,234,16,61,5,Normal
28,5,63,28,25,3,Normal
51,4,108,18,47,4,Normal
62,2,134,6,60,2,Normal
50,6,93,20,47,2,Normal
62,4,135,11,52,9,Normal
69,6,144,41,60,8,Normal
54,7,69,36,41,13,Normal
79,4,129,25,70,9,Normal
88,7,270,18,83,5,Normal
66,5,190,42,65,1,Normal
57,5,140,14,53,4,Normal
67,6,133,15,58,9,Normal
76,6,160,32,68,8,Normal
74,5,122,22,68,6,Normal
102,7,211,57,88,14,Normal
104,5,223,46,89,15,Normal
92,6,249,43,90,2,Normal
125,5,269,45,115,10,Normal
58,4,108,23,44,14,Normal
73,6,164,121,58,15,Normal
75,5,186,38,55,20,Normal
71,7,164,83,58,13,Normal
85,5,164,29,72,13,Normal
80,6,180,27,72,8,Normal
64,5,111,14,52,12,Normal
40,4,93,14,35,5,Normal
34,4,89,12,30,4,Normal
46,4,77,11,43,3,Normal
41,6,85,13,39,2,Normal
52,6,107,26,48,4,Normal
58,4,106,6,57,1,Normal
42,5,83,11,31,11,Normal
24,3,49,6,18,6,Normal
44,4,70,8,34,10,Normal
51,4,80,10,36,15,Normal
56,5,115,14,50,6,Normal
73,5,119,24,64,9,Normal
67,4,122,21,62,5,Normal
62,4,168,9,51,11,Normal
80,4,320,25,62,18,Normal
65,6,138,191,51,14,Normal
64,6,133,44,59,5,Normal
49,7,107,21,39,10,Normal
41,5,87,19,30,11,Normal
43,4,59,16,32,11,Normal
78,5,174,25,63,15,Normal
80,6,148,32,63,17,Normal
51,4,102,19,37,14,Normal
73,5,135,39,62,11,Normal
68,8,136,45,57,11,Normal
51,3,98,10,49,2,Normal
42,6,62,20,38,4,Normal
66,7,110,24,54,12,Normal
61,7,115,30,57,4,Normal
78,4,178,11,72,6,Normal
50,6,85,24,38,12,Normal
60,4,93,9,38,22,Normal
48,6,82,42,32,16,Normal
37,5,82,6,24,13,Normal
41,6,56,27,29,12,Normal
44,4,67,7,33,11,Normal
56,6,95,10,47,9,Normal
63,3,83,5,49,14,Normal
51,4,77,7,41,10,Normal
51,5,108,8,44,7,Normal
43,4,77,6,37,6,Normal
41,5,72,11,29,12,Normal
52,7,95,16,38,14,Normal
37,6,52,14,26,11,Normal
42,4,53,10,38,4,Normal
42,5,64,17,36,6,Normal
44,6,66,21,40,4,Normal
45,5,91,29,41,4,Normal
47,6,95,20,40,7,Normal
65,8,84,27,59,6,Normal
44,6,93,29,39,5,Normal
25,7,46,22,22,3,Normal
23,4,28,9,21,2,Normal
91,7,252,39,86,5,Normal
109,6,264,27,98,11,Normal
110,7,186,32,89,21,Normal
75,5,135,15,54,21,Normal
56,3,154,9,35,21,Normal
58,4,118,7,49,9,Normal
37,4,84,13,37,0,Normal
63,7,124,25,59,4,Normal
24,6,28,21,14,10,Normal
35,5,50,6,31,4,Normal
38,5,47,11,32,6,Normal
46,4,55,15,34,12,Normal
36,4,43,4,32,4,Normal
55,7,86,27,43,12,Normal
38,4,55,15,28,10,Normal
45,4,80,12,34,11,Normal
458,5,1477,14,429,29,Normal
23,4,33,13,20,3,Normal
41,5,92,19,40,1,Normal
229,6,537,22,217,12,Normal
353,7,1078,54,329,24,Normal
46,6,97,63,45,1,Normal
50,6,133,24,49,1,Normal
60,5,126,12,58,2,Normal
455,5,1483,22,426,29,Normal
137,6,475,10,128,9,Normal
49,5,133,14,35,14,Normal
41,6,76,10,28,13,Normal
68,5,200,15,54,14,Normal
439,4,1449,22,410,29,Normal
141,7,325,13,125,16,Normal
390,5,1242,18,365,25,Normal
476,4,1615,23,447,29,Normal
55,5,98,10,53,2,Normal
197,6,592,11,182,15,Normal
36,5,67,17,27,9,Normal
55,5,85,26,46,9,Normal
44,6,78,46,42,2,Normal
100,7,476,186,86,13,Normal
97,3,460,7,91,6,Normal
146,4,865,78,140,6,Normal
52,5,117,10,47,5,Normal
22,6,38,22,17,5,Normal
57,5,89,8,51,6,Normal
91,7,207,24,82,9,Normal
126,6,343,19,115,11,Normal
